Río Chalinga Nodes and Reaches, 0 \ Headflow, 1 \ CA_Gabino Outflow, 2 \ Reach, 3 \ Río Chalinga en La Palmilla (gauge), 3 \ ZR_Gavino Runoff, 4 \ Reach, 5 \ CL_09 Inflow, 6 \ Reach, 7 \ CA_Destiladera Outflow, 8 \ Reach, 9 \ CA_Destiladera Outflow 2,10 \ Reach,11 \ ZR_Destiladera Runoff,12 \ Reach,13 \ CA_Batuco Chalinga Outflow,14 \ Reach,15 \ ZR_Batuco Chalinga Runoff,16 \ Reach,17 \ CA_Molino de Zapallar Outflow,18 \ Reach,19 \ ZR_Molino de Zapallar Runoff,20 \ Reach,21 \ CA_Toma Ranque Outflow,22 \ Reach,23 \ ZR_Ranque Runoff,24 \ Reach,25 \ CA_Palquial Outflow,26 \ Reach,27 \ ZR_Palquial Runoff,28 \ Reach,29 \ CA_Valentino Outflow,30 \ Reach,31 \ ZR_Valentino Runoff,32 \ Reach,33 \ CA_Maravillal Outflow,34 \ Reach,35 \ ZR_Maravillal Runoff,36 \ Reach,37 \ CA_Alameda Outflow,38 \ Reach,39 \ ZR_Alameda Runoff,40 \ Reach,41 \ CA_Cunlagua Outflow,42 \ Reach,43 \ ZR_Cunlagua Runoff,44 \ Reach,45 \ CA_Los Guindos Outflow,46 \ Reach,47 \ ZR_Los Guindos Runoff,48 \ Reach,49 \ CA_Huanque Outflow,50 \ Reach,51 \ ZR_Huanque Runoff,52 \ Reach,53 \ CA_Chanar Chalinga Outflow,54 \ Reach,55 \ ZR_Chanar Chalinga Runoff,56 \ Reach,57 \ CA_Arboleda Grande Outflow,58 \ Reach,59 \ ZR_Arboleda Grande Runoff,60 \ Reach,61 \ CA_Chalinga Outflow,62 \ Reach,63 \ ZR_Chalinga Runoff,64 \ Reach,65 \ ZR_Tebal Runoff,66 \ Reach,67 \ CA_Tebal Outflow,68 \ Reach,69 \ ZR_Chilcas Runoff,70 \ Reach,71 \ CA_Chilcas Outflow,71 \ PC_DES_CHALINGA (gauge),72 \ Reach
may-96,0.285161,0.269822,0.269822,0.285161,0.269822,0.273446,0.333551,0.330215,0.330215,0.330215,0.291355,0.291355,0.291355,0.306024,0.152631,0.152631,0.157505,0.174025,0.171631,0.171631,0.172386,0.284691,0.284126,0.284126,0.284322,0.288445,0.182249,0.182249,0.186971,0.251061,0.241755,0.241755,0.241792,0.245144,0.229007,0.229007,0.229818,0.23563,0.23449,0.23449,0.234831,0.279172,0.196676,0.196676,0.198982,0.222456,0.210907,0.210907,0.211034,0.214546,0.156798,0.156798,0.15894,0.173001,0.172195,0.172195,0.172269,0.182254,0.120382,0.120382,0.122177,0.133588,0.0845025,0.0845025,0.0859969,0.100636,0.105783,0.142209,0.0473389,0.0473389,0.0494976,0.0494976,0,0.0000203,0
jun-96,0.307233,0.290706,0.290706,0.307233,0.290706,0.295834,0.3609,0.357291,0.357291,0.357291,0.315423,0.315423,0.315423,0.336174,0.170908,0.170908,0.171754,0.205051,0.205051,0.205051,0.205606,0.338519,0.338519,0.338519,0.338725,0.339263,0.195798,0.195798,0.196476,0.261409,0.251383,0.251383,0.251416,0.256158,0.238772,0.238772,0.238929,0.247151,0.247151,0.247151,0.247363,0.28626,0.197379,0.197379,0.19826,0.231467,0.219023,0.219023,0.219073,0.224103,0.161886,0.161886,0.162276,0.182167,0.182167,0.182167,0.182197,0.182197,0.115536,0.115536,0.116432,0.132573,0.0796883,0.0796883,0.0800124,0.100721,0.103124,0.154654,0.0524405,0.0524405,0.0533288,0.0533288,0,0.00263456,0
jul-96,0.273774,0.259047,0.259047,0.273774,0.259047,0.264393,0.321937,0.318718,0.318718,0.318718,0.28141,0.28141,0.28141,0.303046,0.155778,0.155778,0.159884,0.199432,0.170469,0.170469,0.17197,0.307899,0.302009,0.302009,0.302536,0.302536,0.160177,0.160177,0.166295,0.251185,0.242251,0.242251,0.242366,0.24731,0.231817,0.231817,0.232052,0.240625,0.22688,0.22688,0.227642,0.279601,0.2004,0.2004,0.204615,0.239238,0.22815,0.22815,0.228309,0.234445,0.179004,0.179004,0.181877,0.202616,0.182815,0.182815,0.182943,0.182943,0.123541,0.123541,0.128423,0.145252,0.0981271,0.0981271,0.101777,0.123369,0.135043,0.188771,0.0976887,0.0976887,0.103869,0.103869,0.0563477,0.00513104,0.0563477
ago-96,0.261193,0.247143,0.247143,0.261194,0.247143,0.252066,0.306782,0.303714,0.303714,0.303714,0.268121,0.268121,0.268121,0.288043,0.147542,0.147542,0.149628,0.195212,0.16758,0.16758,0.168036,0.321109,0.315488,0.315488,0.315588,0.321189,0.185371,0.185371,0.186615,0.273659,0.265136,0.265136,0.265173,0.269726,0.254945,0.254945,0.255193,0.263087,0.249974,0.249974,0.250006,0.316603,0.241041,0.241041,0.241308,0.27319,0.262611,0.262611,0.262681,0.268331,0.215437,0.215437,0.216022,0.235119,0.216228,0.216228,0.216236,0.230765,0.174093,0.174093,0.174491,0.189988,0.145028,0.145028,0.145642,0.165524,0.165992,0.215464,0.128568,0.128568,0.12936,0.12936,0.0840231,0.00373124,0.0840231
sept-96,0.257833,0.243964,0.243964,0.257833,0.243964,0.24866,0.302621,0.299595,0.299595,0.299595,0.264459,0.264459,0.264459,0.283466,0.144773,0.144773,0.156247,0.200206,0.172929,0.172929,0.176537,0.322262,0.316714,0.316714,0.317596,0.322939,0.18887,0.18887,0.201463,0.284507,0.276093,0.276093,0.276145,0.280488,0.265898,0.265898,0.267316,0.274847,0.261902,0.261902,0.262815,0.325865,0.251275,0.251275,0.25814,0.288556,0.278113,0.278113,0.27872,0.283636,0.231423,0.231423,0.237843,0.256062,0.237415,0.237415,0.237677,0.251472,0.19553,0.19553,0.202263,0.217048,0.172666,0.172666,0.177174,0.196142,0.21269,0.259889,0.17411,0.17411,0.181797,0.181797,0.137043,0.0202731,0.137043
oct-96,0.30929,0.292653,0.292653,0.30929,0.292653,0.297139,0.362668,0.359041,0.359041,0.359041,0.316893,0.316893,0.316893,0.33505,0.168677,0.168677,0.186364,0.226235,0.193515,0.193515,0.199345,0.338526,0.331871,0.331871,0.333368,0.338472,0.177645,0.177645,0.198503,0.277834,0.267741,0.267741,0.267854,0.272003,0.254501,0.254501,0.25674,0.263935,0.248407,0.248407,0.250104,0.310003,0.220527,0.220527,0.232401,0.261457,0.248931,0.248931,0.249876,0.251063,0.18843,0.18843,0.19959,0.216995,0.194626,0.194626,0.195096,0.20632,0.139212,0.139212,0.14729,0.161413,0.108175,0.108175,0.115846,0.133966,0.159693,0.204781,0.101883,0.101883,0.114803,0.114803,0.0611174,0,0.0611174
nov-96,0.294066,0.278248,0.278248,0.294067,0.278248,0.283809,0.345915,0.342456,0.342456,0.342456,0.302383,0.302383,0.302383,0.324889,0.166706,0.166706,0.188496,0.239653,0.208544,0.208544,0.218358,0.392735,0.386408,0.386408,0.388599,0.394926,0.242016,0.242016,0.278471,0.376807,0.36721,0.36721,0.367419,0.372562,0.355921,0.355921,0.359105,0.368023,0.35326,0.35326,0.356505,0.434107,0.349034,0.349034,0.364645,0.400662,0.388752,0.388752,0.389651,0.389651,0.3301,0.3301,0.341204,0.362777,0.341509,0.341509,0.342345,0.355028,0.291224,0.291224,0.298904,0.316411,0.265793,0.265793,0.275414,0.297875,0.322336,0.378226,0.280392,0.280392,0.292677,0.292677,0.241633,0.00927969,0.241633
dic-96,0.23529,0.222633,0.222633,0.23529,0.222633,0.22775,0.276643,0.273877,0.273877,0.273877,0.241813,0.241813,0.241813,0.262522,0.135955,0.135955,0.151577,0.197353,0.172462,0.172462,0.180314,0.34046,0.335397,0.335397,0.33715,0.342972,0.220625,0.220625,0.254371,0.344851,0.337172,0.337172,0.337443,0.342175,0.32886,0.32886,0.332555,0.340761,0.328948,0.328948,0.332487,0.403933,0.335865,0.335865,0.348355,0.381495,0.371965,0.371965,0.372685,0.372685,0.325037,0.325037,0.33392,0.353771,0.336754,0.336754,0.337738,0.346422,0.29537,0.29537,0.301515,0.317624,0.277123,0.277123,0.284821,0.305488,0.325059,0.376484,0.298205,0.298205,0.308034,0.308034,0.267193,0.00514222,0.267193
ene-97,0.270032,0.255507,0.255507,0.270032,0.255507,0.259737,0.31644,0.313276,0.313276,0.313276,0.276478,0.276478,0.276478,0.293599,0.148344,0.148344,0.165085,0.198602,0.170035,0.170035,0.179047,0.310882,0.305072,0.305072,0.307085,0.311898,0.171485,0.171485,0.210215,0.285023,0.276211,0.276211,0.276481,0.280393,0.265112,0.265112,0.268865,0.27565,0.262093,0.262093,0.265733,0.322874,0.244755,0.244755,0.25909,0.286489,0.275553,0.275553,0.276378,0.276378,0.221695,0.221695,0.231891,0.248303,0.228773,0.228773,0.229674,0.234345,0.175755,0.175755,0.182807,0.196126,0.149645,0.149645,0.15848,0.175567,0.198028,0.240546,0.150709,0.150709,0.161989,0.161989,0.115118,0,0.115118
feb-97,0.26662,0.252278,0.252278,0.266621,0.252278,0.257134,0.31307,0.309939,0.309939,0.309939,0.273606,0.273606,0.273606,0.293256,0.149836,0.149836,0.164312,0.199941,0.171735,0.171735,0.179835,0.332871,0.327134,0.327134,0.329121,0.334646,0.196006,0.196006,0.22721,0.313064,0.304363,0.304363,0.304598,0.309088,0.294,0.294,0.29736,0.305146,0.29176,0.29176,0.293943,0.3614,0.284267,0.284267,0.298421,0.329866,0.319068,0.319068,0.319883,0.319883,0.26589,0.26589,0.275957,0.294793,0.27551,0.27551,0.276041,0.283222,0.225373,0.225373,0.232336,0.247621,0.201727,0.201727,0.21045,0.23006,0.252238,0.301034,0.212332,0.212332,0.223469,0.223469,0.17719,0,0.17719
mar-97,0.229613,0.217262,0.217262,0.229613,0.217262,0.221591,0.269208,0.266516,0.266516,0.266516,0.235226,0.235226,0.235226,0.25275,0.129238,0.129238,0.139347,0.16669,0.142399,0.142399,0.147144,0.283697,0.278756,0.278756,0.279913,0.284839,0.165443,0.165443,0.185987,0.262553,0.25506,0.25506,0.255215,0.259219,0.246226,0.246226,0.248788,0.255731,0.244203,0.244203,0.245437,0.304941,0.238514,0.238514,0.247486,0.27553,0.26623,0.26623,0.266538,0.266538,0.220039,0.220039,0.226259,0.243056,0.22645,0.22645,0.226712,0.235682,0.185863,0.185863,0.191859,0.20549,0.165967,0.165967,0.17155,0.189039,0.205575,0.249092,0.172702,0.172702,0.180691,0.180691,0.140836,0.0159108,0.140836
abr-97,0.183,0.173156,0.173156,0.183,0.173156,0.177285,0.214423,0.212279,0.212279,0.212279,0.187341,0.187341,0.187341,0.204049,0.105611,0.105611,0.110968,0.131406,0.112046,0.112046,0.115123,0.246079,0.242141,0.242141,0.242843,0.24754,0.152383,0.152383,0.164923,0.237926,0.231954,0.231954,0.232043,0.235861,0.225506,0.225506,0.227147,0.233768,0.22458,0.22458,0.225326,0.281927,0.228986,0.228986,0.234545,0.261284,0.253872,0.253872,0.254104,0.256768,0.219709,0.219709,0.223769,0.239785,0.22655,0.22655,0.226705,0.23681,0.197104,0.197104,0.201883,0.21488,0.18338,0.18338,0.186661,0.203336,0.213539,0.255031,0.194149,0.194149,0.198701,0.198701,0.166937,0.00835399,0.166937
may-97,0.235484,0.222817,0.222817,0.235484,0.222817,0.226001,0.274938,0.272188,0.272188,0.272188,0.240098,0.240098,0.240098,0.252985,0.126315,0.126315,0.129675,0.139195,0.114283,0.114283,0.115854,0.214066,0.208999,0.208999,0.209517,0.21314,0.0906917,0.0906917,0.0955065,0.151812,0.144128,0.144128,0.144191,0.147136,0.13381,0.13381,0.133824,0.13893,0.127108,0.127108,0.127803,0.165181,0.0970569,0.0970569,0.100661,0.121284,0.111747,0.111747,0.111944,0.114085,0.0663982,0.0663982,0.0686455,0.0809984,0.0639673,0.0639673,0.0640875,0.0722937,0.0212003,0.0212003,0.0252805,0.0353048,0.0353048,0.0353048,0.0377551,0.050616,0.0610969,0.0930991,0.0147559,0.0147559,0.0194093,0.0194093,0.0194093,0.00356667,0.0194093
jun-97,1.88497,1.85497,1.85497,1.88497,1.85497,1.8592,2.27894,2.25615,2.25615,2.25615,2.18015,2.18015,2.18015,2.19728,1.89728,1.89728,1.94458,1.97412,1.91512,1.91512,1.9325,2.06396,2.05196,2.05196,2.0577,2.06252,1.77252,1.77252,1.82782,1.90268,1.88448,1.88448,1.8854,1.88931,1.85775,1.85775,1.86041,1.8672,1.8392,1.8392,1.84575,1.88314,1.68314,1.68314,1.71637,1.74379,1.71579,1.71579,1.71729,1.72215,1.58215,1.58215,1.60251,1.61894,1.56894,1.56894,1.56995,1.58245,1.43245,1.43245,1.46391,1.47723,1.47723,1.47723,1.49675,1.49675,1.57939,1.62194,1.39194,1.39194,1.42464,1.42464,1.42464,4.17937,1.42464
jul-97,1.10671,1.07671,1.07671,1.10671,1.07671,1.08641,1.3312,1.31789,1.31789,1.31789,1.24189,1.24189,1.24189,1.28116,0.981163,0.981163,0.982147,1.08155,1.02255,1.02255,1.02278,1.35662,1.34462,1.34462,1.34466,1.3557,1.0657,1.0657,1.06579,1.23739,1.21919,1.21919,1.21921,1.22818,1.19662,1.19662,1.19675,1.21231,1.18431,1.18431,1.18435,1.33974,1.13974,1.13974,1.13988,1.21779,1.18979,1.18979,1.18983,1.20363,1.06363,1.06363,1.06364,1.11031,1.06031,1.06031,1.06031,1.09581,0.945815,0.945815,0.946315,0.984184,0.865184,0.865184,0.865703,0.865703,0.866895,0.987792,0.757792,0.757792,0.758782,0.758782,0.638782,1.26788,0.638782
ago-97,2.66238,2.63238,2.63238,2.66239,2.63238,2.64241,3.23692,3.20455,3.20455,3.20455,3.12855,3.12855,3.12855,3.16913,2.86913,2.86913,2.89601,2.99057,2.93157,2.93157,2.94129,3.26821,3.25621,3.25621,3.25944,3.27085,2.98085,2.98085,3.01307,3.19039,3.17219,3.17219,3.17275,3.18202,3.15046,3.15046,3.15201,3.16809,3.14009,3.14009,3.14403,3.27947,3.27947,3.27947,3.29889,3.37939,3.35139,3.35139,3.35223,3.36626,3.22626,3.22626,3.23765,3.28587,3.23587,3.23587,3.23646,3.27315,3.27315,3.27315,3.29085,3.32999,3.21099,3.21099,3.22127,3.27148,3.3187,3.44363,3.21363,3.21363,3.23103,3.23103,3.11103,3.3294,3.11103
sept-97,4.08098,4.05098,4.05098,4.081,4.05098,4.06101,4.97441,4.92467,4.92467,4.92467,4.84867,4.84867,4.84867,4.88925,4.58925,4.58925,4.59819,4.70091,4.64191,4.64191,4.64474,4.99935,4.98735,4.98735,4.98803,4.99944,4.70944,4.70944,4.71885,4.89616,4.87796,4.87796,4.87799,4.88727,4.85571,4.85571,4.85682,4.8729,4.8449,4.8449,4.84552,4.98417,4.78417,4.78417,4.78907,4.78907,4.76107,4.76107,4.76153,4.77579,4.63579,4.63579,4.64039,4.68862,4.63862,4.63862,4.63881,4.67549,4.52549,4.52549,4.53041,4.53041,4.41141,4.41141,4.41459,4.4648,4.47603,4.60096,4.37096,4.37096,4.37624,4.37624,4.25624,3.42581,4.25624
oct-97,3.98805,3.95805,3.95805,3.98806,3.95805,3.96776,4.86027,4.81167,4.81167,4.81167,4.73567,4.73567,4.73567,4.77494,4.47494,4.47494,4.48499,4.58024,4.52124,4.52124,4.52451,4.87633,4.86433,4.86433,4.86516,4.8762,4.5862,4.5862,4.59758,4.76918,4.75098,4.75098,4.75102,4.76,4.72844,4.72844,4.72978,4.74534,4.71734,4.71734,4.71817,4.86856,4.66856,4.66856,4.67514,4.75305,4.72505,4.72505,4.72565,4.7365,4.5965,4.5965,4.60226,4.64892,4.59892,4.59892,4.5992,4.63324,4.48324,4.48324,4.48882,4.52669,4.40769,4.40769,4.41142,4.46,4.47395,4.59484,4.36484,4.36484,4.37129,4.37129,4.25129,3.38017,4.25129
nov-97,4.60197,4.57197,4.57197,4.602,4.57197,4.582,5.61252,5.5564,5.5564,5.5564,5.4804,5.4804,5.4804,5.52098,5.22098,5.22098,5.2509,5.35362,5.29462,5.29462,5.30581,5.66831,5.65631,5.65631,5.65918,5.67059,5.38059,5.38059,5.41682,5.59414,5.57594,5.57594,5.57615,5.58542,5.55386,5.55386,5.55702,5.5731,5.5451,5.5451,5.54833,5.69657,5.49657,5.49657,5.51796,5.59847,5.57047,5.57047,5.57243,5.58261,5.44261,5.44261,5.46316,5.51139,5.46139,5.46139,5.46222,5.49673,5.34673,5.34673,5.36479,5.40392,5.28492,5.28492,5.29865,5.34886,5.40206,5.52698,5.29698,5.29698,5.32205,5.32205,5.20205,4.82449,5.20205
dic-97,5.83005,5.80005,5.80005,5.83008,5.80005,5.80975,7.11635,7.04519,7.04519,7.04519,6.96919,6.96919,6.96919,7.00846,6.70846,6.70846,6.74539,6.8383,6.7793,6.7793,6.79308,7.15179,7.13979,7.13979,7.14327,7.15432,6.86432,6.86432,6.9088,7.0804,7.0622,7.0622,7.06247,7.07145,7.03989,7.03989,7.04358,7.05914,7.03114,7.03114,7.03505,7.16977,6.96977,6.96977,6.99539,7.0733,7.0453,7.0453,7.04741,7.04842,6.90842,6.90842,6.93244,6.97911,6.92911,6.92911,6.93009,6.95922,6.80922,6.80922,6.82727,6.86514,6.74614,6.74614,6.76255,6.81113,6.86864,6.98953,6.75953,6.75953,6.78841,6.78841,6.66841,4.46908,6.66841
ene-98,4.77169,4.74169,4.74169,4.77169,4.74169,4.75172,5.82039,5.76219,5.76219,5.76219,5.68619,5.68619,5.68619,5.72677,5.42677,5.42677,5.46314,5.55604,5.49704,5.49704,5.5099,5.89674,5.88474,5.88474,5.888,5.89941,5.60941,5.60941,5.65228,5.82959,5.81139,5.81139,5.81166,5.82094,5.78938,5.78938,5.79313,5.80921,5.78121,5.78121,5.78485,5.95507,5.75507,5.75507,5.77894,5.85945,5.83145,5.83145,5.83343,5.83343,5.69343,5.69343,5.71541,5.76363,5.71363,5.71363,5.71453,5.7434,5.5934,5.5934,5.61146,5.65059,5.53159,5.53159,5.54679,5.59699,5.65413,5.77906,5.54906,5.54906,5.57628,5.57628,5.45628,3.4853,5.45628
feb-98,2.83275,2.80275,2.80275,2.83276,2.80275,2.81278,3.44558,3.41113,3.41113,3.41113,3.33513,3.33513,3.33513,3.37571,3.07571,3.07571,3.10347,3.19208,3.13308,3.13308,3.1406,3.51506,3.50306,3.50306,3.50502,3.51643,3.22643,3.22643,3.25641,3.43373,3.41553,3.41553,3.41575,3.42503,3.39347,3.39347,3.39671,3.41279,3.38479,3.38479,3.38686,3.56883,3.36883,3.36883,3.38323,3.46374,3.43574,3.43574,3.4365,3.43735,3.29735,3.29735,3.30889,3.35711,3.30711,3.30711,3.30762,3.33716,3.18716,3.18716,3.20149,3.24062,3.12162,3.12162,3.13121,3.18141,3.21238,3.33731,3.10731,3.10731,3.12304,3.12304,3.00304,2.49906,3.00304
mar-98,2.39661,2.36661,2.36661,2.39661,2.36661,2.37567,2.91042,2.88132,2.88132,2.88132,2.80532,2.80532,2.80532,2.84197,2.54197,2.54197,2.56354,2.64041,2.58141,2.58141,2.58639,2.90276,2.89076,2.89076,2.89197,2.90228,2.61228,2.61228,2.63326,2.79342,2.77522,2.77522,2.77538,2.78376,2.7522,2.7522,2.7548,2.76933,2.74133,2.74133,2.7426,2.88712,2.68712,2.68712,2.69636,2.76908,2.74108,2.74108,2.74141,2.74963,2.60963,2.60963,2.61611,2.65966,2.60966,2.60966,2.60993,2.63946,2.48946,2.48946,2.4983,2.53364,2.41464,2.41464,2.42022,2.46557,2.48245,2.59529,2.36529,2.36529,2.37328,2.37328,2.25328,1.36044,2.25328
abr-98,1.66316,1.63316,1.63316,1.66317,1.63316,1.64319,2.01307,1.99294,1.99294,1.99294,1.91694,1.91694,1.91694,1.95752,1.65752,1.65752,1.66747,1.74778,1.68878,1.68878,1.69066,2.03715,2.02515,2.02515,2.02554,2.03695,1.74695,1.74695,1.75562,1.93294,1.91474,1.91474,1.91479,1.92407,1.89251,1.89251,1.89378,1.90986,1.88186,1.88186,1.88225,2.04946,1.84946,1.84946,1.85319,1.9337,1.9057,1.9057,1.90579,1.91784,1.77784,1.77784,1.7806,1.82882,1.77882,1.77882,1.77891,1.81343,1.66343,1.66343,1.66731,1.70644,1.58744,1.58744,1.59006,1.64026,1.64586,1.77079,1.54079,1.54079,1.54414,1.54414,1.42414,0.835462,1.42414
may-98,1.45548,1.42548,1.42548,1.45548,1.42548,1.43518,1.75838,1.74079,1.74079,1.74079,1.66479,1.66479,1.66479,1.70407,1.40407,1.40407,1.40859,1.48767,1.42867,1.42867,1.42931,1.75335,1.74135,1.74135,1.74152,1.75256,1.46256,1.46256,1.46684,1.63844,1.62024,1.62024,1.62027,1.62925,1.59769,1.59769,1.59846,1.61402,1.58602,1.58602,1.58632,1.73789,1.53789,1.53789,1.54006,1.61797,1.58997,1.58997,1.59008,1.60331,1.46331,1.46331,1.4652,1.51187,1.46187,1.46187,1.46194,1.49677,1.34677,1.34677,1.34829,1.38616,1.26716,1.26716,1.26847,1.31705,1.32151,1.44241,1.21241,1.21241,1.21424,1.21424,1.09424,0.335639,1.09424
jun-98,1.55333,1.52333,1.52333,1.55333,1.52333,1.53336,1.87855,1.85976,1.85976,1.85976,1.78376,1.78376,1.78376,1.82434,1.52434,1.52434,1.52541,1.60919,1.55019,1.55019,1.5505,1.88285,1.87085,1.87085,1.87097,1.88238,1.59238,1.59238,1.59249,1.76981,1.75161,1.75161,1.75162,1.7609,1.72934,1.72934,1.72956,1.74564,1.71764,1.71764,1.71776,1.87119,1.67119,1.67119,1.67142,1.75193,1.72393,1.72393,1.72395,1.73744,1.59744,1.59744,1.59751,1.64573,1.59573,1.59573,1.59574,1.63188,1.48188,1.48188,1.48229,1.52142,1.40242,1.40242,1.40243,1.45263,1.45383,1.57876,1.34876,1.34876,1.34909,1.34909,1.22909,0.228743,1.22909
jul-98,1.24913,1.21913,1.21913,1.24913,1.21913,1.22883,1.50563,1.49058,1.49058,1.49058,1.41458,1.41458,1.41458,1.45385,1.15385,1.15385,1.15781,1.24145,1.18245,1.18245,1.18361,1.50594,1.49394,1.49394,1.49422,1.50526,1.21526,1.21526,1.21953,1.39113,1.37293,1.37293,1.37295,1.38192,1.35036,1.35036,1.35088,1.36645,1.33845,1.33845,1.3388,1.49138,1.29138,1.29138,1.29384,1.37175,1.34375,1.34375,1.34398,1.35779,1.21779,1.21779,1.2203,1.26696,1.21696,1.21696,1.21705,1.25256,1.10256,1.10256,1.10489,1.14276,1.02376,1.02376,1.02534,1.07392,1.08007,1.20097,0.97097,0.97097,0.973705,0.973705,0.853705,0.0421248,0.853705
ago-98,0.731,0.701,0.701,0.731,0.701,0.711027,0.871356,0.862642,0.862642,0.862642,0.786642,0.786642,0.786642,0.827226,0.527226,0.527226,0.534393,0.626603,0.567603,0.567603,0.569749,0.898708,0.886708,0.886708,0.887248,0.898658,0.608658,0.608658,0.616075,0.793392,0.775192,0.775192,0.775223,0.784497,0.752937,0.752937,0.753768,0.769848,0.741848,0.741848,0.742393,0.903425,0.703425,0.703425,0.70736,0.787865,0.759865,0.759865,0.760224,0.772887,0.632887,0.632887,0.636617,0.684839,0.634839,0.634839,0.634983,0.670938,0.520938,0.520938,0.524808,0.56394,0.44494,0.44494,0.447479,0.497684,0.507071,0.631998,0.401998,0.401998,0.406278,0.406278,0.286278,0,0.286278
sept-98,1.04846,1.01846,1.01846,1.04847,1.01846,1.02849,1.26019,1.24759,1.24759,1.24759,1.17159,1.17159,1.17159,1.21217,0.912168,0.912168,0.922737,1.0173,0.958299,0.958299,0.961665,1.28401,1.27201,1.27201,1.27283,1.28424,0.994239,0.994239,1.00569,1.18301,1.16481,1.16481,1.16486,1.17413,1.14257,1.14257,1.14388,1.15996,1.13196,1.13196,1.13277,1.28407,1.08407,1.08407,1.09023,1.17074,1.14274,1.14274,1.14329,1.15514,1.01514,1.01514,1.02091,1.06913,1.01913,1.01913,1.01937,1.05491,0.90491,0.90491,0.91112,0.950252,0.831252,0.831252,0.835286,0.885492,0.900267,1.02519,0.795194,0.795194,0.802023,0.802023,0.682023,0,0.682023
oct-98,1.43015,1.40015,1.40015,1.43015,1.40015,1.40985,1.72735,1.71008,1.71008,1.71008,1.63408,1.63408,1.63408,1.67335,1.37335,1.37335,1.39139,1.4854,1.4264,1.4264,1.43235,1.74768,1.73568,1.73568,1.73721,1.74825,1.45825,1.45825,1.47955,1.65115,1.63295,1.63295,1.63306,1.64204,1.61048,1.61048,1.61276,1.62832,1.60032,1.60032,1.60206,1.747,1.547,1.547,1.55901,1.63692,1.60892,1.60892,1.60995,1.62015,1.48015,1.48015,1.49156,1.53823,1.48823,1.48823,1.48871,1.52239,1.37239,1.37239,1.38422,1.42209,1.30309,1.30309,1.31094,1.35953,1.38891,1.5098,1.2798,1.2798,1.29372,1.29372,1.17372,0.00867619,1.17372
nov-98,1.61556,1.58556,1.58556,1.61556,1.58556,1.59559,1.95476,1.93522,1.93522,1.93522,1.85922,1.85922,1.85922,1.8998,1.5998,1.5998,1.6299,1.72654,1.66754,1.66754,1.67878,2.00987,1.99787,1.99787,2.00076,2.01216,1.72216,1.72216,1.75862,1.93594,1.91774,1.91774,1.91795,1.92722,1.89566,1.89566,1.89884,1.91493,1.88693,1.88693,1.89017,2.04324,1.84324,1.84324,1.86477,1.94528,1.91728,1.91728,1.91925,1.92655,1.78655,1.78655,1.80723,1.85546,1.80546,1.80546,1.80629,1.83921,1.68921,1.68921,1.70726,1.74639,1.62739,1.62739,1.64132,1.69152,1.74508,1.87,1.64,1.64,1.66541,1.66541,1.54541,0.114599,1.54541
dic-98,1.16209,1.13209,1.13209,1.16209,1.13209,1.1418,1.39904,1.38505,1.38505,1.38505,1.30905,1.30905,1.30905,1.34832,1.04832,1.04832,1.08525,1.17802,1.11902,1.11902,1.1328,1.45545,1.44345,1.44345,1.44694,1.45798,1.16798,1.16798,1.21247,1.38406,1.36586,1.36586,1.36613,1.37511,1.34355,1.34355,1.34724,1.36281,1.33481,1.33481,1.33871,1.49432,1.29432,1.29432,1.31994,1.39785,1.36985,1.36985,1.37196,1.37289,1.23289,1.23289,1.25692,1.30358,1.25358,1.25358,1.25457,1.28365,1.13365,1.13365,1.15171,1.18958,1.07058,1.07058,1.08698,1.13557,1.19307,1.31397,1.08397,1.08397,1.11285,1.11285,0.99285,0,0.99285
ene-99,0.585062,0.555062,0.555062,0.585065,0.555062,0.56509,0.692612,0.685686,0.685686,0.685686,0.609686,0.609686,0.609686,0.650269,0.350269,0.350269,0.386638,0.479539,0.420539,0.420539,0.433395,0.761972,0.749972,0.749972,0.753235,0.764645,0.474645,0.474645,0.517508,0.694826,0.676626,0.676626,0.676896,0.68617,0.65461,0.65461,0.658363,0.674443,0.646443,0.646443,0.650084,0.813602,0.644345,0.644345,0.668214,0.74872,0.725024,0.725024,0.726812,0.726812,0.608333,0.608333,0.630306,0.678528,0.636213,0.636213,0.637114,0.665986,0.539043,0.539043,0.554322,0.593454,0.492747,0.492747,0.507944,0.558149,0.606815,0.731742,0.537097,0.537097,0.561537,0.561537,0.459983,0,0.459983
feb-99,0.45291,0.428547,0.428547,0.452914,0.428547,0.438575,0.53639,0.531026,0.531026,0.531026,0.469306,0.469306,0.469306,0.509889,0.266259,0.266259,0.295571,0.384185,0.336271,0.336271,0.344371,0.666577,0.656832,0.656832,0.658941,0.670351,0.434842,0.434842,0.466045,0.643362,0.628582,0.628582,0.628817,0.63809,0.61246,0.61246,0.61582,0.631901,0.609162,0.609162,0.611345,0.768739,0.637713,0.637713,0.65287,0.721001,0.702657,0.702657,0.703481,0.703481,0.611763,0.611763,0.623588,0.664398,0.631641,0.631641,0.632173,0.656071,0.557802,0.557802,0.56963,0.602747,0.524786,0.524786,0.534375,0.576862,0.608592,0.714316,0.563635,0.563635,0.579364,0.579364,0.500748,0,0.500748
